interpreter,interpret,0.14
interpreter,interpret,0.139
interpreter,interpret,0.137
interpreter,interpret,0.141
interpreter,interpret,0.138
interpreter,interpret,0.136
interpreter,interpret,0.144
interpreter,interpret,0.136
interpreter,interpret,0.137
interpreter,interpret,0.136
icarus-verilog,compile_with_iverilog,0.065
icarus-verilog,simulate,0.378
icarus-verilog,compile_with_iverilog,0.063
icarus-verilog,simulate,0.378
icarus-verilog,compile_with_iverilog,0.063
icarus-verilog,simulate,0.383
icarus-verilog,compile_with_iverilog,0.063
icarus-verilog,simulate,0.38
icarus-verilog,compile_with_iverilog,0.065
icarus-verilog,simulate,0.397
icarus-verilog,compile_with_iverilog,0.063
icarus-verilog,simulate,0.379
icarus-verilog,compile_with_iverilog,0.063
icarus-verilog,simulate,0.401
icarus-verilog,compile_with_iverilog,0.063
icarus-verilog,simulate,0.381
icarus-verilog,compile_with_iverilog,0.061
icarus-verilog,simulate,0.38
icarus-verilog,compile_with_iverilog,0.063
icarus-verilog,simulate,0.383
verilog,compile_with_verilator,3.287
verilog,simulate,0.032
verilog,compile_with_verilator,2.897
verilog,simulate,0.031
verilog,compile_with_verilator,3.028
verilog,simulate,0.031
verilog,compile_with_verilator,2.932
verilog,simulate,0.03
verilog,compile_with_verilator,2.907
verilog,simulate,0.029
verilog,compile_with_verilator,2.892
verilog,simulate,0.03
verilog,compile_with_verilator,2.933
verilog,simulate,0.032
verilog,compile_with_verilator,2.922
verilog,simulate,0.03
verilog,compile_with_verilator,2.926
verilog,simulate,0.032
verilog,compile_with_verilator,2.991
verilog,simulate,0.031
interpreter,interpret,0.142
interpreter,interpret,0.141
interpreter,interpret,0.138
interpreter,interpret,0.138
interpreter,interpret,0.136
interpreter,interpret,0.136
interpreter,interpret,0.137
interpreter,interpret,0.138
interpreter,interpret,0.139
interpreter,interpret,0.139
icarus-verilog,compile_with_iverilog,0.064
icarus-verilog,simulate,0.378
icarus-verilog,compile_with_iverilog,0.063
icarus-verilog,simulate,0.382
icarus-verilog,compile_with_iverilog,0.062
icarus-verilog,simulate,0.383
icarus-verilog,compile_with_iverilog,0.065
icarus-verilog,simulate,0.368
icarus-verilog,compile_with_iverilog,0.067
icarus-verilog,simulate,0.38
icarus-verilog,compile_with_iverilog,0.063
icarus-verilog,simulate,0.379
icarus-verilog,compile_with_iverilog,0.068
icarus-verilog,simulate,0.379
icarus-verilog,compile_with_iverilog,0.061
icarus-verilog,simulate,0.38
icarus-verilog,compile_with_iverilog,0.064
icarus-verilog,simulate,0.37
icarus-verilog,compile_with_iverilog,0.064
icarus-verilog,simulate,0.378
verilog,compile_with_verilator,2.973
verilog,simulate,0.031
verilog,compile_with_verilator,2.888
verilog,simulate,0.032
verilog,compile_with_verilator,2.901
verilog,simulate,0.032
verilog,compile_with_verilator,2.931
verilog,simulate,0.03
verilog,compile_with_verilator,2.902
verilog,simulate,0.031
verilog,compile_with_verilator,2.94
verilog,simulate,0.032
verilog,compile_with_verilator,2.908
verilog,simulate,0.032
verilog,compile_with_verilator,2.905
verilog,simulate,0.033
verilog,compile_with_verilator,2.819
verilog,simulate,0.03
verilog,compile_with_verilator,2.809
verilog,simulate,0.033
