interpreter.interpret,0.546
interpreter.interpret,0.55
interpreter.interpret,0.548
interpreter.interpret,0.554
interpreter.interpret,0.556
interpreter.interpret,0.557
interpreter.interpret,0.565
interpreter.interpret,0.548
interpreter.interpret,0.543
interpreter.interpret,0.556
icarus-verilog.compile_with_iverilog,0.855
icarus-verilog.simulate,3.102
icarus-verilog.compile_with_iverilog,0.871
icarus-verilog.simulate,2.968
icarus-verilog.compile_with_iverilog,0.859
icarus-verilog.simulate,3.058
icarus-verilog.compile_with_iverilog,0.866
icarus-verilog.simulate,3.105
icarus-verilog.compile_with_iverilog,0.864
icarus-verilog.simulate,3.074
icarus-verilog.compile_with_iverilog,0.866
icarus-verilog.simulate,3.096
icarus-verilog.compile_with_iverilog,0.865
icarus-verilog.simulate,3.096
icarus-verilog.compile_with_iverilog,0.869
icarus-verilog.simulate,3.033
icarus-verilog.compile_with_iverilog,0.855
icarus-verilog.simulate,3.074
icarus-verilog.compile_with_iverilog,0.867
icarus-verilog.simulate,3.093
verilog.compile_with_verilator,15.591
verilog.simulate,0.062
verilog.compile_with_verilator,15.543
verilog.simulate,0.063
verilog.compile_with_verilator,15.532
verilog.simulate,0.051
verilog.compile_with_verilator,15.781
verilog.simulate,0.063
verilog.compile_with_verilator,15.583
verilog.simulate,0.063
verilog.compile_with_verilator,15.618
verilog.simulate,0.063
verilog.compile_with_verilator,15.59
verilog.simulate,0.061
verilog.compile_with_verilator,15.562
verilog.simulate,0.063
verilog.compile_with_verilator,15.537
verilog.simulate,0.063
verilog.compile_with_verilator,15.498
verilog.simulate,0.051
