interpreter.interpret,0.163
interpreter.interpret,0.162
interpreter.interpret,0.158
interpreter.interpret,0.16
interpreter.interpret,0.168
interpreter.interpret,0.16
interpreter.interpret,0.16
interpreter.interpret,0.163
interpreter.interpret,0.158
interpreter.interpret,0.164
icarus-verilog.compile_with_iverilog,0.058
icarus-verilog.simulate,0.689
icarus-verilog.compile_with_iverilog,0.057
icarus-verilog.simulate,0.68
icarus-verilog.compile_with_iverilog,0.057
icarus-verilog.simulate,0.692
icarus-verilog.compile_with_iverilog,0.058
icarus-verilog.simulate,0.693
icarus-verilog.compile_with_iverilog,0.056
icarus-verilog.simulate,0.689
icarus-verilog.compile_with_iverilog,0.057
icarus-verilog.simulate,0.676
icarus-verilog.compile_with_iverilog,0.056
icarus-verilog.simulate,0.674
icarus-verilog.compile_with_iverilog,0.056
icarus-verilog.simulate,0.689
icarus-verilog.compile_with_iverilog,0.058
icarus-verilog.simulate,0.694
icarus-verilog.compile_with_iverilog,0.058
icarus-verilog.simulate,0.691
verilog.compile_with_verilator,4.178
verilog.simulate,0.041
verilog.compile_with_verilator,4.219
verilog.simulate,0.041
verilog.compile_with_verilator,4.201
verilog.simulate,0.039
verilog.compile_with_verilator,4.234
verilog.simulate,0.038
verilog.compile_with_verilator,4.198
verilog.simulate,0.04
verilog.compile_with_verilator,4.182
verilog.simulate,0.039
verilog.compile_with_verilator,4.197
verilog.simulate,0.04
verilog.compile_with_verilator,4.203
verilog.simulate,0.04
verilog.compile_with_verilator,4.224
verilog.simulate,0.041
verilog.compile_with_verilator,4.209
verilog.simulate,0.04
