interpreter.interpret,0.109
interpreter.interpret,0.11
interpreter.interpret,0.11
interpreter.interpret,0.112
interpreter.interpret,0.114
interpreter.interpret,0.107
interpreter.interpret,0.108
interpreter.interpret,0.114
interpreter.interpret,0.109
interpreter.interpret,0.114
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.35
icarus-verilog.compile_with_iverilog,0.043
icarus-verilog.simulate,0.347
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.361
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.358
icarus-verilog.compile_with_iverilog,0.044
icarus-verilog.simulate,0.36
icarus-verilog.compile_with_iverilog,0.043
icarus-verilog.simulate,0.35
icarus-verilog.compile_with_iverilog,0.044
icarus-verilog.simulate,0.358
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.347
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.35
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.358
verilog.compile_with_verilator,2.219
verilog.simulate,0.027
verilog.compile_with_verilator,2.212
verilog.simulate,0.029
verilog.compile_with_verilator,2.2
verilog.simulate,0.028
verilog.compile_with_verilator,2.224
verilog.simulate,0.029
verilog.compile_with_verilator,2.239
verilog.simulate,0.028
verilog.compile_with_verilator,2.195
verilog.simulate,0.027
verilog.compile_with_verilator,2.226
verilog.simulate,0.028
verilog.compile_with_verilator,2.234
verilog.simulate,0.027
verilog.compile_with_verilator,2.23
verilog.simulate,0.028
verilog.compile_with_verilator,2.234
verilog.simulate,0.028
