compilation,stage,mean,median,stddev
NTT 32,icarus-verilog,1.071,1.067,0.018
NTT 32,verilog,29.983,27.845,6.779
NTT 64,icarus-verilog,7.108,7.142,0.08
NTT 64,verilog,167.713,159.425,27.21
TCAM 32,icarus-verilog,0.837,0.838,0.005
TCAM 32,verilog,21.942,20.233,5.32
TCAM 64,icarus-verilog,0.86,0.862,0.005
TCAM 64,verilog,20.065,18.796,4.009
Linear Algebra 2MM,icarus-verilog,0.057,0.057,0.001
Linear Algebra 2MM,verilog,4.205,4.202,0.018
Linear Algebra 3MM,icarus-verilog,0.048,0.048,0.002
Linear Algebra 3MM,verilog,2.728,2.752,0.057
Linear Algebra ATAX,icarus-verilog,0.053,0.053,0.001
Linear Algebra ATAX,verilog,2.373,2.369,0.014
Linear Algebra BICG,icarus-verilog,0.04,0.041,0.001
Linear Algebra BICG,verilog,1.646,1.646,0.012
Linear Algebra DOITGEN,icarus-verilog,0.038,0.038,0.001
Linear Algebra DOITGEN,verilog,1.552,1.55,0.009
Linear Algebra DURBIN,icarus-verilog,0.051,0.051,0.001
Linear Algebra DURBIN,verilog,2.386,2.384,0.01
Linear Algebra GEMM,icarus-verilog,0.056,0.057,0.002
Linear Algebra GEMM,verilog,2.339,2.332,0.03
Linear Algebra GEMVER,icarus-verilog,0.1,0.1,0.001
Linear Algebra GEMVER,verilog,7.191,7.178,0.046
Linear Algebra GESUMMV,icarus-verilog,0.074,0.074,0.001
Linear Algebra GESUMMV,verilog,4.16,4.17,0.022
Linear Algebra LU,icarus-verilog,0.044,0.044,0.001
Linear Algebra LU,verilog,1.93,1.931,0.012
Linear Algebra LUDCMP,icarus-verilog,0.059,0.059,0.001
Linear Algebra LUDCMP,verilog,3.724,3.729,0.026
Linear Algebra MVT,icarus-verilog,0.059,0.058,0.002
Linear Algebra MVT,verilog,2.746,2.744,0.014
Linear Algebra SYMM,icarus-verilog,0.047,0.046,0.002
Linear Algebra SYMM,verilog,2.323,2.318,0.017
Linear Algebra SYR2K,icarus-verilog,0.057,0.057,0.001
Linear Algebra SYR2K,verilog,2.662,2.658,0.016
Linear Algebra SYRK,icarus-verilog,0.045,0.045,0.001
Linear Algebra SYRK,verilog,2.221,2.225,0.015
Linear Algebra TRISOLV,icarus-verilog,0.038,0.038,0.001
Linear Algebra TRISOLV,verilog,1.492,1.492,0.008
Linear Algebra TRMM,icarus-verilog,0.04,0.04,0.001
Linear Algebra TRMM,verilog,1.59,1.591,0.012
Linear Algebra Cholesky,icarus-verilog,0.05,0.05,0.001
Linear Algebra Cholesky,verilog,2.0,2.005,0.011
Linear Algebra Gramschmidt,icarus-verilog,0.087,0.087,0.001
Linear Algebra Gramschmidt,verilog,4.775,4.772,0.017
LeNet,icarus-verilog,0.308,0.306,0.003
LeNet,verilog,16.506,13.886,5.873
